ID,发生日期,发生时间,结束日期,结束时间,报警日期,犯罪类型代码,犯罪类型描述,精确犯罪类型代码,精确犯罪类型描述,犯罪未遂标志,犯罪级别,事件司法管辖区,发生行政区,发生辖区,具体场所位置,发生地点类型,发生标志地名,发生住房区,长岛区X坐标,长岛区Y坐标,纬度,经度,经纬度,发生详细时间,结束详细时间,持续时间,与报警时间差
819248754,2015-01-18,15:07:00,2015-01-18,15:08:00,2015-01-18,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1.0,INSIDE,CHAIN STORE,,,981743.0,199233.0,40.71353317,-74.00904466,"(40.713533167, -74.009044659)",2015-01-18 15:07:00,2015-01-18 15:08:00,1.0,0
555636946,2014-09-05,10:30:00,,,2014-09-05,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,7.0,OPPOSITE OF,BRIDGE,,,988309.0,200805.0,40.71784736,-73.98535894,"(40.717847357, -73.985358935)",2014-09-05 10:30:00,,,0
944986934,2015-11-23,13:45:00,,,2015-11-23,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32.0,FRONT OF,RESIDENCE - APT. HOUSE,,,1000404.0,235537.0,40.81316389,-73.94164375,"(40.813163889, -73.941643752)",2015-11-23 13:45:00,,,0
768712868,2015-10-12,13:40:00,2015-10-12,13:48:00,2015-10-12,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,68.0,,STREET,,,982779.0,168528.0,40.62925504,-74.00530091,"(40.629255043, -74.00530091)",2015-10-12 13:40:00,2015-10-12 13:48:00,8.0,0
518104359,2014-11-13,16:30:00,2014-11-14,7:30:00,2014-11-14,109,GRAND LARCENY,438.0,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18.0,INSIDE,COMMERCIAL BUILDING,,,986840.0,218442.0,40.76625709,-73.99065145,"(40.766257086, -73.990651445)",2014-11-13 16:30:00,2014-11-14 07:30:00,900.0,1
211968575,2014-12-27,23:50:00,2014-12-27,23:54:00,2014-12-28,236,DANGEROUS WEAPONS,782.0,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46.0,FRONT OF,STREET,,,1007684.0,248284.0,40.84813443,-73.91529962,"(40.848134427, -73.915299621)",2014-12-27 23:50:00,2014-12-27 23:54:00,4.0,1
393157839,2015-10-02,23:30:00,,,2015-10-02,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,33.0,INSIDE,GROCERY/BODEGA,,,1001247.0,247437.0,40.8458244,-73.9385682,"(40.845824399, -73.938568196)",2015-10-02 23:30:00,,,0
332790381,2015-11-05,6:55:00,2015-11-05,7:00:00,2015-11-05,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,121.0,FRONT OF,RESIDENCE - APT. HOUSE,,,946783.0,170902.0,40.63569205,-74.13499425,"(40.635692049, -74.134994245)",2015-11-05 06:55:00,2015-11-05 07:00:00,5.0,0
173349015,2014-02-05,9:10:00,2014-02-05,9:12:00,2014-02-05,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,67.0,INSIDE,CHAIN STORE,,,997704.0,178037.0,40.65534511,-73.9515127,"(40.655345114, -73.951512704)",2014-02-05 09:10:00,2014-02-05 09:12:00,2.0,0
840656847,2015-07-18,17:00:00,2015-07-18,19:30:00,2015-07-19,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40.0,INSIDE,RESIDENCE - APT. HOUSE,,,1009466.0,234744.0,40.81096611,-73.9089095,"(40.810966109, -73.908909503)",2015-07-18 17:00:00,2015-07-18 19:30:00,150.0,1
955402673,2015-03-01,18:01:00,2015-03-01,18:02:00,2015-03-01,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,101.0,FRONT OF,RESIDENCE - APT. HOUSE,,,1053917.0,159316.0,40.6036963,-73.74911277,"(40.603696297, -73.749112769)",2015-03-01 18:01:00,2015-03-01 18:02:00,1.0,0
481456496,2015-06-03,16:45:00,2015-06-03,17:00:00,2015-06-03,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,49.0,INSIDE,RESIDENCE - APT. HOUSE,,,1021136.0,251009.0,40.85556779,-73.86666264,"(40.85556779, -73.866662642)",2015-06-03 16:45:00,2015-06-03 17:00:00,15.0,0
488038602,2014-06-18,19:55:00,2014-06-18,22:05:00,2014-06-18,340,FRAUDS,707.0,"IMPERSONATION 2, PUBLIC SERVAN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75.0,,STREET,,,1016225.0,181755.0,40.66550269,-73.88474472,"(40.665502692, -73.884744724)",2014-06-18 19:55:00,2014-06-18 22:05:00,130.0,0
399177650,2015-09-24,12:00:00,2015-09-24,13:00:00,2015-09-29,365,ADMINISTRATIVE CODE,878.0,"ADM.CODE,UNCLASSIFIED MISDEMEA",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,101.0,INSIDE,RESIDENCE - APT. HOUSE,,,1043389.0,154070.0,40.58937364,-73.78707255,"(40.589373635, -73.787072546)",2015-09-24 12:00:00,2015-09-24 13:00:00,60.0,5
225461236,2014-01-13,16:00:00,2014-01-13,16:30:00,2014-01-13,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,109.0,INSIDE,SMALL MERCHANT,,,1030234.0,215251.0,40.75737942,-73.83401937,"(40.757379417, -73.834019371)",2014-01-13 16:00:00,2014-01-13 16:30:00,30.0,0
978854229,2014-07-05,14:00:00,2014-07-07,17:00:00,2014-07-11,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18.0,INSIDE,COMMERCIAL BUILDING,,,987700.0,215734.0,40.75882403,-73.9875482,"(40.758824028, -73.987548199)",2014-07-05 14:00:00,2014-07-07 17:00:00,180.0,6
743246954,2015-05-21,11:00:00,2015-05-21,11:05:00,2015-05-21,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,90.0,OPPOSITE OF,STREET,,,1002577.0,195808.0,40.70411373,-73.9339019,"(40.70411373, -73.933901902)",2015-05-21 11:00:00,2015-05-21 11:05:00,5.0,0
924022197,2015-06-09,8:00:00,2015-06-09,12:00:00,2015-06-09,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,30.0,INSIDE,RESIDENCE - APT. HOUSE,,,996582.0,237961.0,40.81982325,-73.9554466,"(40.819823251, -73.955446596)",2015-06-09 08:00:00,2015-06-09 12:00:00,240.0,0
393955937,2015-05-01,4:00:00,2015-05-01,4:30:00,2015-05-03,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,101.0,INSIDE,RESIDENCE - APT. HOUSE,,,1053766.0,158439.0,40.60129031,-73.74966558,"(40.601290306, -73.749665582)",2015-05-01 04:00:00,2015-05-01 04:30:00,30.0,2
359832049,2015-03-03,17:38:00,2015-03-03,17:41:00,2015-03-03,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18.0,INSIDE,CHAIN STORE,,,991014.0,217494.0,40.76365286,-73.97558409,"(40.763652863, -73.97558409)",2015-03-03 17:38:00,2015-03-03 17:41:00,3.0,0
653432325,2014-04-26,16:15:00,,,2014-04-26,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,120.0,INSIDE,RESIDENCE - APT. HOUSE,,,961807.0,172082.0,40.63898171,-74.08086706,"(40.638981706, -74.08086706)",2014-04-26 16:15:00,,,0
375977582,2015-04-30,10:45:00,2015-04-30,10:55:00,2015-04-30,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,61.0,INSIDE,RESIDENCE-HOUSE,,,998467.0,156499.0,40.59622663,-73.94880818,"(40.596226633, -73.948808184)",2015-04-30 10:45:00,2015-04-30 10:55:00,10.0,0
865379999,2014-02-16,22:30:00,,,2014-02-17,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,63.0,INSIDE,RESIDENCE-HOUSE,,,1003947.0,167105.0,40.62532744,-73.92904461,"(40.625327435, -73.929044611)",2014-02-16 22:30:00,,,1
517744217,2015-09-12,6:05:00,2015-09-12,6:25:00,2015-09-12,359,OFFENSES AGAINST PUBLIC ADMINI,750.0,RESISTING ARREST,COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,QUEENS,107.0,,TRANSIT - NYC SUBWAY,,,1044584.0,199118.0,40.71301216,-73.78236703,"(40.713012164, -73.782367026)",2015-09-12 06:05:00,2015-09-12 06:25:00,20.0,0
556363481,2014-08-26,12:00:00,2014-08-26,12:00:00,2014-08-26,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5.0,FRONT OF,STREET,,,984182.0,200945.0,40.71823255,-74.00024675,"(40.718232554, -74.000246752)",2014-08-26 12:00:00,2014-08-26 12:00:00,0.0,0
467703555,2015-08-30,14:00:00,2015-08-30,16:00:00,2015-09-11,109,GRAND LARCENY,412.0,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,68.0,INSIDE,RESIDENCE-HOUSE,,,975674.0,170925.0,40.63583027,-74.03090064,"(40.635830271, -74.03090064)",2015-08-30 14:00:00,2015-08-30 16:00:00,120.0,12
680424189,2014-05-05,12:00:00,2014-05-05,22:15:00,2014-05-05,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19.0,INSIDE,RESIDENCE - APT. HOUSE,,,992831.0,219193.0,40.7683146,-73.96902274,"(40.768314602, -73.969022735)",2014-05-05 12:00:00,2014-05-05 22:15:00,615.0,0
227435497,2015-08-09,23:45:00,,,2015-08-10,236,DANGEROUS WEAPONS,782.0,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43.0,FRONT OF,STREET,,,1018791.0,240921.0,40.82788869,-73.8751915,"(40.827888685, -73.875191502)",2015-08-09 23:45:00,,,1
146169827,2014-08-10,18:24:00,2014-08-10,18:40:00,2014-08-10,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,48.0,,TRANSIT FACILITY (OTHER),,,1014295.0,253237.0,40.86170891,-73.89138209,"(40.861708909, -73.891382086)",2014-08-10 18:24:00,2014-08-10 18:40:00,16.0,0
577722160,2014-10-09,19:30:00,2014-10-10,6:30:00,2014-10-10,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43.0,FRONT OF,STREET,,,1021688.0,244893.0,40.83877887,-73.86470137,"(40.838778865, -73.864701374)",2014-10-09 19:30:00,2014-10-10 06:30:00,660.0,1
716307376,2014-12-31,9:20:00,2014-12-31,9:35:00,2014-12-31,105,ROBBERY,361.0,"ROBBERY,BANK",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67.0,INSIDE,BANK,,,998553.0,172620.0,40.64047529,-73.94846436,"(40.640475291, -73.948464361)",2014-12-31 09:20:00,2014-12-31 09:35:00,15.0,0
144828116,2015-10-18,15:00:00,2015-10-18,16:00:00,2015-10-18,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43.0,INSIDE,DEPARTMENT STORE,,,1023876.0,240229.0,40.82596799,-73.85682155,"(40.825967994, -73.856821554)",2015-10-18 15:00:00,2015-10-18 16:00:00,60.0,0
307660808,2015-04-29,10:05:00,2015-04-29,10:10:00,2015-04-29,113,FORGERY,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. TRANSIT POLICE,BROOKLYN,79.0,,TRANSIT - NYC SUBWAY,,,1000557.0,187002.0,40.67994725,-73.9412087,"(40.679947248, -73.9412087)",2015-04-29 10:05:00,2015-04-29 10:10:00,5.0,0
995112765,2014-07-26,4:00:00,2014-07-26,10:30:00,2014-07-26,341,PETIT LARCENY,343.0,"LARCENY,PETIT OF BICYCLE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71.0,OPPOSITE OF,STREET,,,994938.0,180018.0,40.66078629,-73.96147834,"(40.660786294, -73.961478335)",2014-07-26 04:00:00,2014-07-26 10:30:00,390.0,0
844577219,2014-06-11,16:30:00,2014-06-11,16:35:00,2014-06-11,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71.0,,STREET,,,995908.0,183618.0,40.67066627,-73.95797591,"(40.670666272, -73.957975908)",2014-06-11 16:30:00,2014-06-11 16:35:00,5.0,0
203487585,2015-12-14,10:15:00,2015-12-14,11:42:00,2015-12-14,341,PETIT LARCENY,343.0,"LARCENY,PETIT OF BICYCLE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,108.0,,OTHER,,,1001683.0,209376.0,40.74135641,-73.93709113,"(40.741356412, -73.937091127)",2015-12-14 10:15:00,2015-12-14 11:42:00,87.0,0
